cp_eval,white_elo,black_elo,ply,phase,time_control,tc_bucket,clock_remaining,white_clock,black_clock,side_to_move,result,game_id
-231.4,921,849,51,middlegame,600+0,rapid,,,,white,0.0,synthetic-00333
-397.6,2412,2383,77,endgame,600+0,rapid,,,,white,0.0,synthetic-00334
-52.6,2090,2075,71,endgame,600+0,rapid,,,,white,0.5,synthetic-00335
61.5,2424,2412,48,middlegame,600+0,rapid,,,,white,1.0,synthetic-00336
262.7,1776,1825,25,middlegame,600+0,rapid,,,,white,1.0,synthetic-00337
-283.3,1267,1207,74,endgame,600+0,rapid,,,,white,1.0,synthetic-00338
-234.3,1578,1554,51,middlegame,600+0,rapid,,,,white,0.0,synthetic-00339
-335.2,1664,1713,58,middlegame,600+0,rapid,,,,white,0.0,synthetic-00340
345.3,1603,1577,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00341
110.2,899,944,67,endgame,600+0,rapid,,,,white,0.0,synthetic-00342
95.0,2051,2097,13,opening,600+0,rapid,,,,white,1.0,synthetic-00343
201.5,815,862,60,endgame,600+0,rapid,,,,white,0.0,synthetic-00344
-263.6,1784,1763,25,middlegame,600+0,rapid,,,,white,0.0,synthetic-00345
-112.8,1788,1723,71,endgame,600+0,rapid,,,,white,1.0,synthetic-00346
292.2,2130,2178,54,middlegame,600+0,rapid,,,,white,1.0,synthetic-00347
20.1,1381,1342,11,opening,600+0,rapid,,,,white,0.0,synthetic-00348
-183.7,1895,1822,67,endgame,600+0,rapid,,,,white,0.0,synthetic-00349
-84.9,1273,1258,57,middlegame,600+0,rapid,,,,white,1.0,synthetic-00350
469.7,2177,2109,41,middlegame,600+0,rapid,,,,white,1.0,synthetic-00351
-132.6,2448,2521,75,endgame,600+0,rapid,,,,white,0.0,synthetic-00352
303.5,1649,1677,11,opening,600+0,rapid,,,,white,1.0,synthetic-00353
123.1,1018,1001,11,opening,600+0,rapid,,,,white,1.0,synthetic-00354
-52.6,1008,1020,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00355
-89.5,1245,1306,77,endgame,600+0,rapid,,,,white,0.0,synthetic-00356
334.2,1763,1788,28,middlegame,600+0,rapid,,,,white,1.0,synthetic-00357
-125.7,2460,2409,20,opening,600+0,rapid,,,,white,1.0,synthetic-00358
-146.5,1898,1911,16,opening,600+0,rapid,,,,white,0.0,synthetic-00359
827.3,1221,1284,12,opening,600+0,rapid,,,,white,1.0,synthetic-00360
422.1,1759,1714,79,endgame,600+0,rapid,,,,white,1.0,synthetic-00361
162.9,2283,2328,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00362
331.0,1915,1876,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00363
310.5,2129,2066,67,endgame,600+0,rapid,,,,white,1.0,synthetic-00364
-51.5,2329,2252,8,opening,600+0,rapid,,,,white,0.5,synthetic-00365
-140.3,975,924,12,opening,600+0,rapid,,,,white,0.0,synthetic-00366
365.4,913,991,29,middlegame,600+0,rapid,,,,white,0.5,synthetic-00367
-229.8,2120,2043,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00368
-18.4,1731,1678,67,endgame,600+0,rapid,,,,white,1.0,synthetic-00369
15.1,2568,2620,12,opening,600+0,rapid,,,,white,0.5,synthetic-00370
267.5,802,881,17,opening,600+0,rapid,,,,white,0.0,synthetic-00371
-128.6,2380,2355,14,opening,600+0,rapid,,,,white,0.0,synthetic-00372
287.5,2190,2230,74,endgame,600+0,rapid,,,,white,0.5,synthetic-00373
58.3,1060,1044,40,middlegame,600+0,rapid,,,,white,0.5,synthetic-00374
-253.7,2544,2479,65,endgame,600+0,rapid,,,,white,0.0,synthetic-00375
39.3,2069,2081,69,endgame,600+0,rapid,,,,white,0.5,synthetic-00376
71.0,1470,1512,31,middlegame,600+0,rapid,,,,white,1.0,synthetic-00377
416.7,2464,2391,23,middlegame,600+0,rapid,,,,white,1.0,synthetic-00378
39.9,1749,1749,63,endgame,600+0,rapid,,,,white,1.0,synthetic-00379
366.8,1682,1612,53,middlegame,600+0,rapid,,,,white,0.5,synthetic-00380
140.9,1137,1192,26,middlegame,600+0,rapid,,,,white,0.0,synthetic-00381
-152.1,1174,1097,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00382
-43.3,2482,2449,79,endgame,600+0,rapid,,,,white,1.0,synthetic-00383
-173.1,1059,1005,46,middlegame,600+0,rapid,,,,white,0.5,synthetic-00384
-375.3,2266,2209,10,opening,600+0,rapid,,,,white,0.0,synthetic-00385
51.5,2123,2076,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00386
-73.4,1489,1507,21,middlegame,600+0,rapid,,,,white,0.5,synthetic-00387
465.5,995,1061,39,middlegame,600+0,rapid,,,,white,1.0,synthetic-00388
34.1,2138,2146,60,endgame,600+0,rapid,,,,white,1.0,synthetic-00389
-5.2,2564,2538,39,middlegame,600+0,rapid,,,,white,0.0,synthetic-00390
99.7,2162,2105,14,opening,600+0,rapid,,,,white,0.5,synthetic-00391
-258.2,1686,1755,25,middlegame,600+0,rapid,,,,white,0.0,synthetic-00392
90.7,1910,1849,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00393
100.8,1421,1444,40,middlegame,600+0,rapid,,,,white,0.5,synthetic-00394
-184.2,1039,1042,33,middlegame,600+0,rapid,,,,white,0.0,synthetic-00395
-43.5,1883,1908,50,middlegame,600+0,rapid,,,,white,0.0,synthetic-00396
129.9,1439,1417,59,middlegame,600+0,rapid,,,,white,1.0,synthetic-00397
-191.9,2052,2052,32,middlegame,600+0,rapid,,,,white,0.0,synthetic-00398
-374.3,1558,1595,25,middlegame,600+0,rapid,,,,white,0.5,synthetic-00399
350.8,2255,2253,68,endgame,600+0,rapid,,,,white,1.0,synthetic-00400
-254.7,2431,2470,75,endgame,600+0,rapid,,,,white,0.0,synthetic-00401
271.5,912,876,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00402
-54.9,1903,1846,8,opening,600+0,rapid,,,,white,0.0,synthetic-00403
275.3,2263,2309,54,middlegame,600+0,rapid,,,,white,0.5,synthetic-00404
-211.0,1878,1916,10,opening,600+0,rapid,,,,white,0.0,synthetic-00405
250.3,870,804,38,middlegame,600+0,rapid,,,,white,0.0,synthetic-00406
438.8,1507,1508,53,middlegame,600+0,rapid,,,,white,1.0,synthetic-00407
41.9,953,964,76,endgame,600+0,rapid,,,,white,1.0,synthetic-00408
37.1,1310,1272,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00409
158.4,1129,1179,72,endgame,600+0,rapid,,,,white,0.5,synthetic-00410
330.2,1544,1524,37,middlegame,600+0,rapid,,,,white,0.0,synthetic-00411
50.4,2395,2466,25,middlegame,600+0,rapid,,,,white,0.5,synthetic-00412
-37.9,1698,1711,32,middlegame,600+0,rapid,,,,white,0.5,synthetic-00413
449.1,2073,2099,43,middlegame,600+0,rapid,,,,white,1.0,synthetic-00414
530.3,1673,1676,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00415
49.2,2379,2446,41,middlegame,600+0,rapid,,,,white,1.0,synthetic-00416
-139.0,1798,1814,28,middlegame,600+0,rapid,,,,white,0.0,synthetic-00417
256.3,1887,1900,22,middlegame,600+0,rapid,,,,white,0.0,synthetic-00418
260.8,1821,1883,69,endgame,600+0,rapid,,,,white,1.0,synthetic-00419
-105.2,1348,1311,22,middlegame,600+0,rapid,,,,white,0.5,synthetic-00420
-241.4,1944,1943,17,opening,600+0,rapid,,,,white,0.0,synthetic-00421
610.6,823,806,60,endgame,600+0,rapid,,,,white,0.0,synthetic-00422
-101.8,1531,1455,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00423
-104.8,1909,1966,36,middlegame,600+0,rapid,,,,white,0.0,synthetic-00424
-343.6,881,895,11,opening,600+0,rapid,,,,white,0.0,synthetic-00425
272.7,907,862,59,middlegame,600+0,rapid,,,,white,1.0,synthetic-00426
299.7,2442,2369,15,opening,600+0,rapid,,,,white,0.0,synthetic-00427
-309.3,2133,2141,34,middlegame,600+0,rapid,,,,white,0.0,synthetic-00428
-84.4,1833,1886,68,endgame,600+0,rapid,,,,white,1.0,synthetic-00429
-27.6,1298,1338,14,opening,600+0,rapid,,,,white,0.5,synthetic-00430
19.2,1764,1720,44,middlegame,600+0,rapid,,,,white,0.0,synthetic-00431
9.9,1049,1107,50,middlegame,600+0,rapid,,,,white,0.0,synthetic-00432
-134.1,837,786,50,middlegame,600+0,rapid,,,,white,0.0,synthetic-00433
-133.6,1806,1876,70,endgame,600+0,rapid,,,,white,0.5,synthetic-00434
137.0,1649,1645,64,endgame,600+0,rapid,,,,white,1.0,synthetic-00435
-261.3,1483,1498,36,middlegame,600+0,rapid,,,,white,1.0,synthetic-00436
33.0,1051,1067,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00437
137.2,1032,1101,16,opening,600+0,rapid,,,,white,0.5,synthetic-00438
204.3,1749,1739,69,endgame,600+0,rapid,,,,white,1.0,synthetic-00439
-20.7,1549,1499,52,middlegame,600+0,rapid,,,,white,0.5,synthetic-00440
-541.7,1218,1218,54,middlegame,600+0,rapid,,,,white,0.0,synthetic-00441
0.1,1417,1415,63,endgame,600+0,rapid,,,,white,1.0,synthetic-00442
100.0,2159,2200,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00443
-377.1,964,1038,42,middlegame,600+0,rapid,,,,white,0.5,synthetic-00444
463.5,1695,1654,61,endgame,600+0,rapid,,,,white,1.0,synthetic-00445
31.7,814,791,52,middlegame,600+0,rapid,,,,white,0.0,synthetic-00446
363.1,2058,2002,28,middlegame,600+0,rapid,,,,white,1.0,synthetic-00447
-363.6,2481,2439,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00448
45.4,2066,2037,35,middlegame,600+0,rapid,,,,white,0.5,synthetic-00449
338.3,2461,2428,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00450
-2.5,1886,1916,63,endgame,600+0,rapid,,,,white,0.5,synthetic-00451
-207.2,1851,1793,55,middlegame,600+0,rapid,,,,white,0.0,synthetic-00452
-216.5,1465,1507,38,middlegame,600+0,rapid,,,,white,0.5,synthetic-00453
447.8,1795,1736,51,middlegame,600+0,rapid,,,,white,1.0,synthetic-00454
-395.0,1895,1951,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00455
-30.3,1794,1788,69,endgame,600+0,rapid,,,,white,0.0,synthetic-00456
-119.6,1143,1194,39,middlegame,600+0,rapid,,,,white,0.5,synthetic-00457
-171.8,2045,2111,73,endgame,600+0,rapid,,,,white,0.0,synthetic-00458
3.5,1191,1136,10,opening,600+0,rapid,,,,white,0.5,synthetic-00459
-118.7,915,841,18,opening,600+0,rapid,,,,white,0.5,synthetic-00460
-90.8,1235,1269,48,middlegame,600+0,rapid,,,,white,0.5,synthetic-00461
-119.3,2347,2308,22,middlegame,600+0,rapid,,,,white,1.0,synthetic-00462
-367.5,2393,2420,42,middlegame,600+0,rapid,,,,white,0.0,synthetic-00463
-193.6,1912,1902,69,endgame,600+0,rapid,,,,white,0.0,synthetic-00464
499.2,1511,1439,18,opening,600+0,rapid,,,,white,1.0,synthetic-00465
637.0,2615,2569,73,endgame,600+0,rapid,,,,white,1.0,synthetic-00466
411.3,1414,1377,20,opening,600+0,rapid,,,,white,1.0,synthetic-00467
108.3,2401,2443,47,middlegame,600+0,rapid,,,,white,0.0,synthetic-00468
28.7,972,958,24,middlegame,600+0,rapid,,,,white,0.5,synthetic-00469
308.1,2196,2184,33,middlegame,600+0,rapid,,,,white,0.0,synthetic-00470
-152.1,1273,1327,36,middlegame,600+0,rapid,,,,white,1.0,synthetic-00471
-21.8,1077,1016,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00472
440.1,1139,1197,60,endgame,600+0,rapid,,,,white,0.5,synthetic-00473
32.0,2528,2579,69,endgame,600+0,rapid,,,,white,0.5,synthetic-00474
-33.9,2041,2000,18,opening,600+0,rapid,,,,white,0.0,synthetic-00475
300.9,2433,2401,36,middlegame,600+0,rapid,,,,white,1.0,synthetic-00476
-401.5,779,836,8,opening,600+0,rapid,,,,white,0.5,synthetic-00477
-287.1,1524,1581,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00478
-70.9,1635,1609,43,middlegame,600+0,rapid,,,,white,0.5,synthetic-00479
-116.9,1991,2040,44,middlegame,600+0,rapid,,,,white,0.0,synthetic-00480
161.4,1196,1188,56,middlegame,600+0,rapid,,,,white,1.0,synthetic-00481
-174.6,1012,998,66,endgame,600+0,rapid,,,,white,1.0,synthetic-00482
-245.9,1040,1079,32,middlegame,600+0,rapid,,,,white,0.0,synthetic-00483
244.9,2145,2196,73,endgame,600+0,rapid,,,,white,1.0,synthetic-00484
112.3,919,866,57,middlegame,600+0,rapid,,,,white,0.5,synthetic-00485
-75.8,1811,1767,47,middlegame,600+0,rapid,,,,white,0.0,synthetic-00486
-315.5,1911,1909,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00487
113.1,1155,1202,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00488
-7.2,2032,1992,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00489
-68.4,1187,1252,35,middlegame,600+0,rapid,,,,white,0.0,synthetic-00490
65.9,1724,1769,20,opening,600+0,rapid,,,,white,1.0,synthetic-00491
-287.8,1732,1715,58,middlegame,600+0,rapid,,,,white,0.0,synthetic-00492
-94.0,2390,2323,68,endgame,600+0,rapid,,,,white,0.0,synthetic-00493
226.4,1960,1944,34,middlegame,600+0,rapid,,,,white,0.5,synthetic-00494
41.5,2026,2101,35,middlegame,600+0,rapid,,,,white,1.0,synthetic-00495
183.5,1709,1755,43,middlegame,600+0,rapid,,,,white,1.0,synthetic-00496
8.1,2288,2321,46,middlegame,600+0,rapid,,,,white,0.5,synthetic-00497
207.7,2346,2412,19,opening,600+0,rapid,,,,white,1.0,synthetic-00498
206.4,1185,1243,38,middlegame,600+0,rapid,,,,white,0.0,synthetic-00499
298.1,2341,2344,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00500
379.3,994,1023,17,opening,600+0,rapid,,,,white,0.5,synthetic-00501
290.3,1472,1422,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00502
755.5,1991,1953,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00503
-161.9,1577,1611,70,endgame,600+0,rapid,,,,white,0.0,synthetic-00504
-259.4,1437,1423,62,endgame,600+0,rapid,,,,white,0.0,synthetic-00505
127.9,1254,1300,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00506
-49.0,1537,1589,68,endgame,600+0,rapid,,,,white,1.0,synthetic-00507
-68.4,1846,1817,74,endgame,600+0,rapid,,,,white,0.5,synthetic-00508
-91.0,906,848,19,opening,600+0,rapid,,,,white,0.0,synthetic-00509
-334.1,1619,1657,28,middlegame,600+0,rapid,,,,white,0.0,synthetic-00510
-200.0,1197,1258,74,endgame,600+0,rapid,,,,white,0.0,synthetic-00511
170.6,1087,1088,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00512
-75.8,2393,2318,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00513
-34.4,905,940,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00514
278.7,2602,2569,65,endgame,600+0,rapid,,,,white,1.0,synthetic-00515
-161.9,892,919,45,middlegame,600+0,rapid,,,,white,1.0,synthetic-00516
-188.9,1952,1998,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00517
-646.4,1248,1244,40,middlegame,600+0,rapid,,,,white,1.0,synthetic-00518
196.7,1559,1556,50,middlegame,600+0,rapid,,,,white,0.0,synthetic-00519
566.0,2101,2076,64,endgame,600+0,rapid,,,,white,1.0,synthetic-00520
-41.9,1950,1987,41,middlegame,600+0,rapid,,,,white,0.0,synthetic-00521
-184.5,2410,2441,65,endgame,600+0,rapid,,,,white,0.0,synthetic-00522
201.7,916,871,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00523
-6.6,1670,1615,42,middlegame,600+0,rapid,,,,white,0.0,synthetic-00524
-164.4,983,1002,70,endgame,600+0,rapid,,,,white,0.5,synthetic-00525
-282.2,2366,2403,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00526
194.0,2026,2073,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00527
-175.9,1978,1989,60,endgame,600+0,rapid,,,,white,0.5,synthetic-00528
358.4,2173,2233,39,middlegame,600+0,rapid,,,,white,1.0,synthetic-00529
-152.1,1461,1426,62,endgame,600+0,rapid,,,,white,0.0,synthetic-00530
26.7,2321,2336,19,opening,600+0,rapid,,,,white,0.5,synthetic-00531
503.2,1800,1808,57,middlegame,600+0,rapid,,,,white,1.0,synthetic-00532
346.9,1957,1999,20,opening,600+0,rapid,,,,white,1.0,synthetic-00533
-43.9,1573,1545,23,middlegame,600+0,rapid,,,,white,0.5,synthetic-00534
146.4,1818,1790,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00535
-253.7,790,816,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00536
412.6,1244,1297,9,opening,600+0,rapid,,,,white,1.0,synthetic-00537
-34.2,954,1017,46,middlegame,600+0,rapid,,,,white,1.0,synthetic-00538
-213.7,2368,2432,15,opening,600+0,rapid,,,,white,0.0,synthetic-00539
-109.2,1269,1216,41,middlegame,600+0,rapid,,,,white,1.0,synthetic-00540
-248.1,2443,2412,11,opening,600+0,rapid,,,,white,0.0,synthetic-00541
154.4,1771,1848,56,middlegame,600+0,rapid,,,,white,0.5,synthetic-00542
150.0,1193,1158,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00543
-404.2,1797,1818,37,middlegame,600+0,rapid,,,,white,0.0,synthetic-00544
204.5,1311,1309,67,endgame,600+0,rapid,,,,white,1.0,synthetic-00545
-4.1,2402,2368,36,middlegame,600+0,rapid,,,,white,1.0,synthetic-00546
199.5,2406,2434,68,endgame,600+0,rapid,,,,white,1.0,synthetic-00547
-42.6,1955,1884,66,endgame,600+0,rapid,,,,white,0.0,synthetic-00548
183.5,2138,2087,57,middlegame,600+0,rapid,,,,white,1.0,synthetic-00549
-61.3,2520,2504,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00550
-20.7,2256,2196,33,middlegame,600+0,rapid,,,,white,0.5,synthetic-00551
366.6,1786,1855,78,endgame,600+0,rapid,,,,white,1.0,synthetic-00552
-18.4,1511,1547,10,opening,600+0,rapid,,,,white,1.0,synthetic-00553
-305.2,1798,1763,45,middlegame,600+0,rapid,,,,white,0.5,synthetic-00554
463.1,2327,2268,61,endgame,600+0,rapid,,,,white,1.0,synthetic-00555
-148.7,1609,1607,56,middlegame,600+0,rapid,,,,white,1.0,synthetic-00556
695.1,1949,1968,37,middlegame,600+0,rapid,,,,white,1.0,synthetic-00557
-331.6,1347,1272,70,endgame,600+0,rapid,,,,white,0.0,synthetic-00558
-116.6,1091,1063,58,middlegame,600+0,rapid,,,,white,0.5,synthetic-00559
473.0,2123,2048,46,middlegame,600+0,rapid,,,,white,1.0,synthetic-00560
-26.6,1635,1656,29,middlegame,600+0,rapid,,,,white,0.5,synthetic-00561
208.3,1418,1430,50,middlegame,600+0,rapid,,,,white,0.5,synthetic-00562
-55.4,1178,1254,31,middlegame,600+0,rapid,,,,white,0.5,synthetic-00563
103.9,2279,2279,12,opening,600+0,rapid,,,,white,0.0,synthetic-00564
48.2,1251,1173,74,endgame,600+0,rapid,,,,white,1.0,synthetic-00565
-245.3,2611,2544,64,endgame,600+0,rapid,,,,white,0.0,synthetic-00566
102.1,1363,1358,28,middlegame,600+0,rapid,,,,white,1.0,synthetic-00567
341.1,2381,2444,47,middlegame,600+0,rapid,,,,white,1.0,synthetic-00568
307.3,1306,1381,50,middlegame,600+0,rapid,,,,white,0.5,synthetic-00569
37.7,2134,2203,66,endgame,600+0,rapid,,,,white,1.0,synthetic-00570
-392.2,1944,1937,16,opening,600+0,rapid,,,,white,0.0,synthetic-00571
214.2,1527,1600,15,opening,600+0,rapid,,,,white,1.0,synthetic-00572
-107.8,812,792,29,middlegame,600+0,rapid,,,,white,1.0,synthetic-00573
389.1,1612,1679,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00574
465.9,904,973,22,middlegame,600+0,rapid,,,,white,0.5,synthetic-00575
-102.0,1131,1195,65,endgame,600+0,rapid,,,,white,0.5,synthetic-00576
8.2,2595,2559,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00577
175.4,1039,1059,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00578
-242.5,2543,2506,20,opening,600+0,rapid,,,,white,0.0,synthetic-00579
243.9,2152,2073,77,endgame,600+0,rapid,,,,white,1.0,synthetic-00580
-185.8,1491,1522,19,opening,600+0,rapid,,,,white,0.0,synthetic-00581
40.8,1067,1082,53,middlegame,600+0,rapid,,,,white,1.0,synthetic-00582
-234.5,1671,1748,40,middlegame,600+0,rapid,,,,white,1.0,synthetic-00583
-78.0,2148,2118,70,endgame,600+0,rapid,,,,white,1.0,synthetic-00584
-111.0,2136,2109,41,middlegame,600+0,rapid,,,,white,0.5,synthetic-00585
171.6,2301,2241,49,middlegame,600+0,rapid,,,,white,0.5,synthetic-00586
322.7,1171,1150,71,endgame,600+0,rapid,,,,white,1.0,synthetic-00587
46.0,1040,1080,39,middlegame,600+0,rapid,,,,white,0.5,synthetic-00588
115.2,1427,1443,43,middlegame,600+0,rapid,,,,white,1.0,synthetic-00589
-59.7,2234,2155,58,middlegame,600+0,rapid,,,,white,0.5,synthetic-00590
-22.5,881,840,28,middlegame,600+0,rapid,,,,white,0.5,synthetic-00591
397.5,2419,2492,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00592
-47.8,828,800,30,middlegame,600+0,rapid,,,,white,1.0,synthetic-00593
156.2,1290,1222,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00594
-318.2,2378,2360,44,middlegame,600+0,rapid,,,,white,0.5,synthetic-00595
-3.1,2279,2250,50,middlegame,600+0,rapid,,,,white,0.5,synthetic-00596
61.7,1102,1117,33,middlegame,600+0,rapid,,,,white,0.5,synthetic-00597
-475.7,2409,2484,77,endgame,600+0,rapid,,,,white,0.0,synthetic-00598
-132.1,1992,1977,52,middlegame,600+0,rapid,,,,white,0.0,synthetic-00599
236.4,1479,1436,37,middlegame,600+0,rapid,,,,white,1.0,synthetic-00600
24.9,2119,2082,57,middlegame,600+0,rapid,,,,white,0.5,synthetic-00601
109.5,2137,2214,60,endgame,600+0,rapid,,,,white,0.5,synthetic-00602
-118.6,2137,2191,56,middlegame,600+0,rapid,,,,white,0.0,synthetic-00603
-29.9,2625,2573,16,opening,600+0,rapid,,,,white,1.0,synthetic-00604
-357.5,2035,2089,46,middlegame,600+0,rapid,,,,white,0.0,synthetic-00605
117.7,2460,2420,40,middlegame,600+0,rapid,,,,white,1.0,synthetic-00606
84.1,1750,1727,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00607
-152.1,1652,1713,56,middlegame,600+0,rapid,,,,white,0.0,synthetic-00608
-118.3,1856,1932,73,endgame,600+0,rapid,,,,white,0.0,synthetic-00609
-50.9,2481,2529,12,opening,600+0,rapid,,,,white,0.5,synthetic-00610
361.7,2531,2545,43,middlegame,600+0,rapid,,,,white,1.0,synthetic-00611
-455.0,2044,2120,52,middlegame,600+0,rapid,,,,white,0.0,synthetic-00612
20.5,1791,1787,68,endgame,600+0,rapid,,,,white,0.5,synthetic-00613
10.2,1865,1816,63,endgame,600+0,rapid,,,,white,1.0,synthetic-00614
-341.6,888,952,66,endgame,600+0,rapid,,,,white,0.0,synthetic-00615
-483.5,1971,1893,27,middlegame,600+0,rapid,,,,white,0.0,synthetic-00616
8.8,1716,1643,51,middlegame,600+0,rapid,,,,white,1.0,synthetic-00617
431.4,2095,2059,73,endgame,600+0,rapid,,,,white,1.0,synthetic-00618
-22.1,1300,1250,20,opening,600+0,rapid,,,,white,0.5,synthetic-00619
58.0,1322,1382,13,opening,600+0,rapid,,,,white,1.0,synthetic-00620
69.9,846,851,14,opening,600+0,rapid,,,,white,0.5,synthetic-00621
127.5,1048,1053,24,middlegame,600+0,rapid,,,,white,1.0,synthetic-00622
145.3,2420,2354,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00623
281.9,2397,2377,54,middlegame,600+0,rapid,,,,white,0.0,synthetic-00624
233.3,1085,1164,59,middlegame,600+0,rapid,,,,white,0.5,synthetic-00625
-171.2,1505,1551,71,endgame,600+0,rapid,,,,white,0.0,synthetic-00626
97.3,2368,2425,62,endgame,600+0,rapid,,,,white,0.5,synthetic-00627
122.1,1906,1955,45,middlegame,600+0,rapid,,,,white,1.0,synthetic-00628
59.1,2236,2244,67,endgame,600+0,rapid,,,,white,1.0,synthetic-00629
96.4,2573,2540,64,endgame,600+0,rapid,,,,white,1.0,synthetic-00630
-276.9,2086,2139,28,middlegame,600+0,rapid,,,,white,0.0,synthetic-00631
-28.4,1279,1302,49,middlegame,600+0,rapid,,,,white,0.5,synthetic-00632
-121.2,1386,1329,32,middlegame,600+0,rapid,,,,white,0.0,synthetic-00633
188.3,1969,2001,38,middlegame,600+0,rapid,,,,white,1.0,synthetic-00634
447.1,945,941,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00635
-223.0,911,872,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00636
182.0,873,935,59,middlegame,600+0,rapid,,,,white,0.5,synthetic-00637
287.0,1861,1926,46,middlegame,600+0,rapid,,,,white,1.0,synthetic-00638
162.1,2314,2329,65,endgame,600+0,rapid,,,,white,1.0,synthetic-00639
-252.3,2086,2044,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00640
-257.7,2475,2423,74,endgame,600+0,rapid,,,,white,0.5,synthetic-00641
-124.1,2291,2249,19,opening,600+0,rapid,,,,white,0.0,synthetic-00642
-246.3,1392,1404,46,middlegame,600+0,rapid,,,,white,0.0,synthetic-00643
-171.6,1590,1661,16,opening,600+0,rapid,,,,white,0.0,synthetic-00644
238.9,1047,1005,54,middlegame,600+0,rapid,,,,white,1.0,synthetic-00645
122.4,2123,2183,71,endgame,600+0,rapid,,,,white,1.0,synthetic-00646
137.1,2356,2341,69,endgame,600+0,rapid,,,,white,1.0,synthetic-00647
310.3,2461,2384,31,middlegame,600+0,rapid,,,,white,1.0,synthetic-00648
-299.1,1289,1289,22,middlegame,600+0,rapid,,,,white,0.0,synthetic-00649
293.1,1335,1387,80,endgame,600+0,rapid,,,,white,1.0,synthetic-00650
92.3,1797,1771,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00651
774.8,1882,1908,11,opening,600+0,rapid,,,,white,1.0,synthetic-00652
-7.3,2554,2557,18,opening,600+0,rapid,,,,white,1.0,synthetic-00653
326.7,1773,1850,47,middlegame,600+0,rapid,,,,white,1.0,synthetic-00654
386.6,2023,1980,37,middlegame,600+0,rapid,,,,white,1.0,synthetic-00655
-156.4,2149,2086,75,endgame,600+0,rapid,,,,white,0.0,synthetic-00656
189.4,1954,1877,34,middlegame,600+0,rapid,,,,white,0.0,synthetic-00657
-26.8,1469,1543,9,opening,600+0,rapid,,,,white,0.0,synthetic-00658
-323.2,1569,1525,24,middlegame,600+0,rapid,,,,white,1.0,synthetic-00659
-82.2,2507,2445,65,endgame,600+0,rapid,,,,white,0.5,synthetic-00660
185.5,1409,1423,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00661
57.7,1714,1745,59,middlegame,600+0,rapid,,,,white,0.5,synthetic-00662
-217.1,2606,2565,9,opening,600+0,rapid,,,,white,0.0,synthetic-00663
-206.1,1218,1153,24,middlegame,600+0,rapid,,,,white,0.5,synthetic-00664
43.5,2429,2481,29,middlegame,600+0,rapid,,,,white,1.0,synthetic-00665
511.2,1958,1890,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00666
